480,153.3
510,129.4
426,119.0
482,139.9
393,103.2
510,162.3
403,123.9
506,158.4
393,122.8
442,115.4
411,112.9
514,153.6
525,156.5
543,155.4
412,116.3
449,124.5
482,136.4
569,157.4
484,147.5
472,134.2
453,124.2
422,117.9
320,64.5
547,164.4
408,110.0
331,74.1
467,113.0
545,145.3
396,83.8
351,102.9
503,148.5
402,120.8
542,146.1
437,124.3
453,119.5
386,105.8
434,122.3
418,118.4
391,107.5
399,100.0
486,139.4
421,124.2
496,143.1
463,121.2
508,159.0
419,105.3
434,108.7
440,126.7
405,103.6
434,140.4
344,86.8
415,119.7
463,136.7
475,143.6
463,144.9
392,82.7
452,140.5
504,143.8
443,122.9
461,138.6
340,85.1
438,134.9
523,148.7
416,120.5
483,143.4
440,128.5
423,131.1
386,95.5
321,86.1
433,131.5
351,89.0
481,148.3
465,127.7
390,108.1
463,129.2
468,128.9
488,134.1
443,137.4
505,155.8
395,109.1
474,132.5
490,139.9
396,90.1
362,97.9
566,175.7
418,109.3
502,132.5
500,155.5
359,71.9
443,135.7
421,118.0
433,128.2
514,174.6
320,72.6
406,113.8
465,140.9
487,146.0
532,158.7
330,71.1
438,134.1
593,187.4
445,124.7
518,154.0
496,141.7
473,136.4
522,154.5
547,154.7
560,169.8
412,127.8
444,130.0
437,121.8
462,138.8
438,122.2
406,110.1
413,106.7
458,121.7
408,117.0
